url,name,born,died
Ron_Clarke,Ron Clarke,"Ronald William Clarke(1937-02-21)21 February 1937Melbourne, Victoria, Australia","17 June 2015(2015-06-17) (aged 78)Southport, Queensland, Australia"
George_Moore_(jockey),George Moore (jockey),"5 July 1923Mackay, Queensland",8 January 2008(2008-01-08) (aged 84)Sydney
Ludmila_Belousova,Ludmila Belousova,"(1935-11-22)22 November 1935Ulyanovsk, Russian SFSR, Soviet Union",26 September 2017(2017-09-26) (aged 81)
Arthur_Ashe,Arthur Ashe,"(1943-07-10)July 10, 1943Richmond, Virginia, U.S.","February 6, 1993(1993-02-06) (aged 49)New York City, New York, U.S."
Niki_Lauda,Niki Lauda,"Andreas Nikolaus Lauda(1949-02-22)22 February 1949Vienna, Austria","20 May 2019(2019-05-20) (aged 70)Zürich, Switzerland"
Seve_Ballesteros,Seve Ballesteros,Born,Died
Jonah_Lomu,Jonah Lomu,"Jonah Tali Lomu(1975-05-12)12 May 1975Auckland, New Zealand","18 November 2015(2015-11-18) (aged 40)Auckland, New Zealand"
Ella_Fitzgerald,Ella Fitzgerald,"Ella Jane Fitzgerald(1917-04-25)April 25, 1917Newport News, Virginia, U.S.","June 15, 1996(1996-06-15) (aged 79)Beverly Hills, California, U.S."
Jheryl_Busby,Jheryl Busby,"(1949-05-05)May 5, 1949Los Angeles, California, US","November 4, 2008(2008-11-04) (aged 59)Malibu, California, US"
Ryan_White,Ryan White,"Ryan Wayne White(1971-12-06)December 6, 1971Kokomo, Indiana, U.S.","April 8, 1990(1990-04-08) (aged 18)Indianapolis, Indiana, U.S."
Ruby_Dee,Ruby Dee,"Ruby Ann Wallace(1922-10-27)October 27, 1922Cleveland, Ohio, U.S.","June 11, 2014(2014-06-11) (aged 91)New Rochelle, New York, U.S."
Colin_Powell,Colin Powell,"Colin Luther Powell(1937-04-05)April 5, 1937New York City, U.S.","October 18, 2021(2021-10-18) (aged 84)Bethesda, Maryland, U.S."
Jim_Valvano,Jim Valvano,"(1946-03-10)March 10, 1946Queens, New York","April 28, 1993(1993-04-28) (aged 47)Durham, North Carolina"
Steve_Palermo,Steve Palermo,"Stephen Michael Palermo(1949-10-09)October 9, 1949Worcester, Massachusetts, U.S.","May 14, 2017(2017-05-14) (aged 67)Overland Park, Kansas, U.S."
Dean_Smith,Dean Smith,"(1931-02-28)February 28, 1931Emporia, Kansas","February 7, 2015(2015-02-07) (aged 83)Chapel Hill, North Carolina"
Todd_Beamer,Todd Beamer,"Todd Morgan Beamer(1968-11-24)November 24, 1968Flint, Michigan, U.S.","September 11, 2001(2001-09-11) (aged 32)Stonycreek Township, Pennsylvania, U.S."
